01,12400
02,12016
03,12021
04,12004
05,12024
06,12003
07,12051
08,12007
09,12017
10,12020
11,12022
12,12053
13,12008
14,12052
15,12011
16,12012
17,12054
18,12056
19,12060
20,12059
21,12057
22,12055
23,12058
24,12061
25,12062
26,12009
27,12063
28,12064
29,12065
30,12066
31,12067
32,12068
33,12069
34,12070
35,12071
36,12002
37,12014
38,12027
39,12072
40,12073
41,12074
42,12075
43,12013
44,12076
45,12077
46,12078
47,12081
48,12079
49,12080
50,12082
51,12083
52,12010
53,12084
54,12085
55,12086
56,12087
57,12088
58,12089
59,12018
60,12090
61,12091
62,12092
63,12093
64,12094
65,12005
66,12023
67,12095
68,12096
69,12097
70,12098
71,12099
72,12100
73,12101
74,12102
75,12103
76,12006
77,12025
78,12026
79,12104
80,12019
81,12043
82,12041
83,12044
84,12042
85,12045
86,12105
